F1,F2,F3,F4,F5
24,0,0.3,0,47
-0.1,0,0.3,0,36
-0.4,0,0.3,0,57
5.9,0,0.3,0,34
23.6,0,0.3,0,52
17.6,0,0.3,0,38
6.3,0,0.3,0,58
16.9,0,0.3,0,68
5.5,0,0.3,0,62
8.7,0,0.3,0,60
9.5,0,0.3,0,56
6.3,0,0.3,0,38
19.3,0,0.3,0,40
23,0,0.3,0,67
5,0,0.3,0,67
8.9,0,0.3,0,46
7.7,0,0.3,0,70
14.9,0,0.3,0,42
21.2,0,0.3,0,40
9.5,0,0.3,0,54
23.4,0,0.3,0,44
25.5,0,0.3,0,40
15,0,0.3,0,53
8.7,0,0.3,0,42
21.8,0,0.3,0,70
24.5,0,0.3,0,54
5.4,0,0.3,0,44
8.2,0,0.3,0,40
16.4,0,0.3,0,34
9,0,0.3,0,48
21.8,0,0.3,0,54
12.8,0,0.3,0,58
15.4,0,0.3,0,42
11.4,0,0.3,0,52
0.5,0,0.3,0,44
22.7,0,0.3,0,32
20,0,0.3,0,38
11.7,0,0.3,0,34
22,0,0.3,0,33
21.2,0,0.3,0,48
21,0,0.3,0,39
11.7,0,0.3,0,33
13.9,0,0.3,0,36
10.7,0,0.3,0,31
16,0,0.3,0,44
13.1,0,0.3,0,60
21.9,0,0.3,0,40
6.8,0,0.3,0,41
16,0,0.3,0,66
2.9,0,0.3,0,57
23.3,0,0.3,0,42
24.4,0,0.3,0,32
10.4,0,0.3,0,45
15.1,0,0.3,0,62
8.3,0,0.3,0,64
11.4,0,0.3,0,50
8.3,0,0.3,0,76
17,0,0.3,0,54
15.5,0,0.3,0,44
16.9,0,0.3,0,36
13.9,0,0.3,0,32
15.5,0,0.3,0,36
17.2,0,0.3,0,71
13.2,0,0.3,0,48
13,0,0.3,0,50
20.1,0,0.3,0,38
-4,360,5,0,30
1.8,360,5.1,0,26
-3.8,343,5.2,0,18
-5.8,337,5.3,0,18
24.9,151,5.3,0,22
-2.3,318,5.7,0,26
-1.1,346,6,0,16
20,0,0.1,1,28
22.5,0,0.3,1,8
22.5,292,1,1,8
12.4,168,1.1,1,4
22,151,1.6,1,4
1.2,259,3.3,1,12
1.2,259,3.3,1,10
9.2,238,1.7,2,18
14.6,176,2.4,2,30
14.6,176,2.4,2,12
18.6,300,4.7,2,18
22.3,117,5.4,2,4
17.5,210,2,3,14
22.3,104,3.1,3,6
23.3,122,2,21,8
23.3,122,2,21,4
13.6,0,0,0,16
23.8,0,0,0,6
17.3,0,0,0,8
23.3,0,0,0,10
22.7,0,0,0,26
23.1,0,0,0,17
23,0,0,0,10
22.7,0,0,0,16
9.6,0,0,0,24
17.4,0,0,0,22
21.2,0,0,0,24
21.3,0,0,0,8
21.6,0,0,0,26
-7.4,0,0,0,30
-3,0,0,0,28
21.2,0,0,0,2
22.1,0,0,0,26
21.9,0,0,0,4
20.1,0,0,0,24
